# Generated by tools/gen_model_lights.py; one row per light, model path stem lowercase.
model,family,r,g,b,intensity,attenStart,attenEnd,x,y,z
world\generic\passivedoodads\summerfestival\summerfest_brazier_02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.014,-0.001,0.784
world\generic\passivedoodads\summerfestival\summerfest_brazier_03,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.000,0.001,0.381
world\generic\passivedoodads\summerfestival\summerfest_candle_01,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.025,-0.003,0.332
world\generic\passivedoodads\summerfestival\summerfest_candle_02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.025,-0.003,0.332
world\generic\passivedoodads\valentinesday\valentinescandle,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.000,0.000,0.362
world\generic\tauren\passive doodads\funeralpyres\funeralpyre02,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.146,-0.049,3.674
world\generic\tauren\passive doodads\kilns\taurenkiln01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.476,0.035,6.437
world\generic\tauren\passive doodads\lampposts\taurenlamppost,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.089,-1.021,0.280
world\generic\tauren\passive doodads\lampposts\taurenlamppost02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.003,-0.017,2.077
world\generic\undead\passive doodads\lordaeronbrazier\lordaeronbrazier01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.016,-0.062,0.542
world\generic\undead\passive doodads\undercity torches\undead_torch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.001,-2.040,6.407
world\generic\undead\passive doodads\undercity torches\undead_torch02,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.017,-1.963,0.001
world\generic\undead\passive doodads\undercitychandeliers\undeadchandelier01,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,0.043,-0.502,75.851
world\generic\undead\passive doodads\undercitychandeliers\undeadchandelier02,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.017,-0.149,19.289
world\generic\undead\passive doodads\undercitylanterns\undeadhanginglantern01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.006,-0.012,75.764
world\goober\g_bonfire,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.291,0.029,2.746
world\goober\g_bonfire,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.008,-0.001,0.972
world\goober\g_brazier01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.029,-0.031,0.655
world\goober\g_brazierorcblue,brazier,0.400,0.600,1.000,1.20,3.00,10.00,0.033,0.152,0.665
world\goober\g_brazierorcgreen,brazier,0.400,1.000,0.350,1.20,3.00,10.00,0.033,0.152,0.665
world\goober\g_brazierorcpurple,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.033,0.152,0.665
world\goober\g_brazierorcred,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.033,0.152,0.665
world\goober\g_braziertroll,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.019,-0.035,0.971
world\goober\g_epicbrazierblue,brazier,0.400,0.600,1.000,1.20,3.00,10.00,0.003,-0.015,0.625
world\goober\g_epicbrazieryellow,brazier,1.000,0.900,0.400,1.20,3.00,10.00,0.003,-0.015,0.625
world\goober\g_torch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.017,-0.014,2.080
world\goober\g_torchlever,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.008,-0.001,0.755
world\kalimdor\barrens\passivedoodads\lampposts\barrenslamppost01,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,0.051,-0.002,1.191
world\kalimdor\blackfathom\passivedoodads\braziers\bfd_nagabrazier,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.007,0.003,0.241
world\kalimdor\blackfathom\passivedoodads\lights\bfd_walllight01,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.000,0.093,0.895
world\kalimdor\blackfathom\passivedoodads\lights\bfd_walllight03,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.003,0.165,0.830
world\kalimdor\blackfathom\passivedoodads\lights\bfd_walllight04,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.000,0.093,0.895
world\kalimdor\blackfathom\passivedoodads\lights\bfd_walllight05,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.000,0.093,0.895
world\kalimdor\blackfathom\passivedoodads\lights\bfd_walllight06,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.000,0.093,0.895
world\kalimdor\blackfathom\passivedoodads\lights\bfd_walllight07,walllight,1.000,0.850,0.600,0.80,2.00,8.00,0.000,0.093,0.895
world\kalimdor\blackfathom\passivedoodads\lights\bfd_walltorch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.025,-0.031,0.895
world\kalimdor\darkshore\passivedoodads\lamp\darkstreetlamp,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.250,-0.690,4.114
world\kalimdor\darkshore\passivedoodads\lamp\darkstreetlamp02,streetlamp,1.000,0.820,0.550,1.00,3.00,12.00,-0.221,-0.751,4.138
world\kalimdor\diremaul\activedoodads\nightmaresummoning\nightmarecandle,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.002,-0.000,1.416
world\kalimdor\diremaul\passivedoodads\ogrecampfires\ogrecampfire01,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.075,0.296,0.926
world\kalimdor\dragoncave\passivedoodads\charredbodies\dragonfirecharmark01,fire,1.000,0.500,0.180,1.00,2.00,8.00,0.630,1.380,6.262
world\kalimdor\dragoncave\passivedoodads\charredbodies\dragonfirecharmark02,fire,1.000,0.500,0.180,1.00,2.00,8.00,0.830,2.063,1.426
world\kalimdor\felwood\passivedoodads\lamp\felwoodlamp01,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.025,0.145,4.132
world\kalimdor\mauradon\passivedoodads\bridgebraziers\bridgebrazierblue01,brazier,0.400,0.600,1.000,1.20,3.00,10.00,0.002,-0.001,0.960
world\kalimdor\mauradon\passivedoodads\bridgebraziers\bridgebraziergreen01,brazier,0.400,1.000,0.350,1.20,3.00,10.00,0.002,-0.001,0.987
world\kalimdor\mauradon\passivedoodads\bridgebraziers\bridgebrazierpurple01,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.002,-0.001,0.938
world\kalimdor\mauradon\passivedoodads\centaurbraziers\centaurbrazierred01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.002,-0.002,0.872
world\kalimdor\mauradon\passivedoodads\satyrfloorbraziers\satyrfloorbrazierblue01,brazier,0.400,0.600,1.000,1.20,3.00,10.00,0.010,-0.308,2.439
world\kalimdor\mauradon\passivedoodads\satyrfloorbraziers\satyrfloorbraziergreen01,brazier,0.400,1.000,0.350,1.20,3.00,10.00,0.010,-0.260,2.439
world\kalimdor\mauradon\passivedoodads\satyrfloorbraziers\satyrfloorbrazierpurple01,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.010,-0.260,2.439
world\kalimdor\mauradon\passivedoodads\satyrhangingbraziers\satyrhangingbrazierblue01,brazier,0.400,0.600,1.000,1.20,3.00,10.00,0.002,-0.063,1.039
world\kalimdor\mauradon\passivedoodads\satyrhangingbraziers\satyrhangingbrazierblue02,brazier,0.400,0.600,1.000,1.20,3.00,10.00,0.002,-0.063,1.039
world\kalimdor\mauradon\passivedoodads\satyrhangingbraziers\satyrhangingbrazierpurple01,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.002,-0.063,1.039
world\kalimdor\mulgore\passivedoodads\funeralpyres\funeralpyre01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.136,-0.732,2.710
world\kalimdor\orgrimmar\passivedoodads\orgrimmarbonfire\orgrimmarbonfire01,campfire,1.000,0.500,0.180,1.20,3.00,10.00,-0.111,-0.115,0.742
world\kalimdor\silithus\passivedoodads\ahnqiraj\torch\ahnqirajwalltorch01,torch,1.000,0.550,0.220,1.00,2.00,8.00,-0.008,-0.027,0.874
world\kalimdor\silithus\passivedoodads\ahnqirajsconces\ahnqirajsconce01,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.084,0.045,4.956
world\kalimdor\silithus\passivedoodads\ahnqirajsconces\ahnqirajsconce02,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.548,0.682,4.043
world\kalimdor\silithus\passivedoodads\ahnqirajsconces\ahnqirajsconce03,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.112,-0.042,5.000
world\kalimdor\silithus\passivedoodads\ahnqirajsconces\ahnqirajsconce04,torch,1.000,0.550,0.220,1.00,2.00,8.00,0.132,-0.052,4.024
world\khazmodan\blackrock\activedoodads\anvil\darkironforge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-4.341,6.506,5.705
world\khazmodan\blackrock\activedoodads\darkironbrazier\darkironbrazier,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.039,-0.011,1.375
world\khazmodan\ironforge\passivedoodads\bush\ironforgeangledbush01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.002,0.846,1.801
world\khazmodan\ironforge\passivedoodads\bush\ironforgebush01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.023,0.149,3.914
world\khazmodan\ironforge\passivedoodads\bush\ironforgesnowybush02,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.003,0.546,1.427
world\khazmodan\ironforge\passivedoodads\elevators\ironforgeelevator,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.000,0.000,4.430
world\khazmodan\ironforge\passivedoodads\elevators\ironforgeelevatordoor,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.000,0.000,5.163
world\khazmodan\ironforge\passivedoodads\elevators\ironforgehouseelevator,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.000,0.000,0.245
world\khazmodan\ironforge\passivedoodads\lavasteam\forgelavaa,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.193,0.009,0.230
world\khazmodan\ironforge\passivedoodads\lavasteam\forgelavab,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.021,0.589,0.395
world\khazmodan\ironforge\passivedoodads\lavasteam\forgelavab,hearth,1.000,0.450,0.150,1.00,2.00,8.00,3.966,0.589,0.395
world\khazmodan\ironforge\passivedoodads\lavasteam\ironforgebellow,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.000,0.000,10.028
world\khazmodan\ironforge\passivedoodads\lavasteam\ironforgepiston,hearth,1.000,0.450,0.150,1.00,2.00,8.00,1.540,-5.028,72.501
world\khazmodan\ironforge\passivedoodads\lavasteam\ironforgewheel,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.075,0.002,6.962
world\khazmodan\ironforge\passivedoodads\rocks\ironforgecliff01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.867,2.293,6.719
world\khazmodan\ironforge\passivedoodads\rocks\ironforgecliff02,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.522,1.861,5.482
world\khazmodan\ironforge\passivedoodads\rocks\ironforgecliff03,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.515,1.058,2.851
world\khazmodan\ironforge\passivedoodads\rocks\ironforgecliff04,hearth,1.000,0.450,0.150,1.00,2.00,8.00,1.207,-0.435,2.293
world\khazmodan\ironforge\passivedoodads\signposts\ironforgesignpost,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.020,0.007,5.122
world\khazmodan\ironforge\passivedoodads\signposts\ironforgesignpostpointer,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.018,-0.576,0.249
world\khazmodan\ironforge\passivedoodads\statues\ironforgestatue_01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,2.444,-1.996,35.500
world\khazmodan\ironforge\passivedoodads\steamtank\ironforgesteamtank,hearth,1.000,0.450,0.150,1.00,2.00,8.00,1.787,0.034,7.919
world\khazmodan\ironforge\passivedoodads\steamtank\ironforgesteamtankdrag,hearth,1.000,0.450,0.150,1.00,2.00,8.00,2.060,-0.018,8.015
world\khazmodan\ironforge\passivedoodads\steamtank\ironforgesteamtankwolf,hearth,1.000,0.450,0.150,1.00,2.00,8.00,2.251,0.017,7.919
world\khazmodan\ironforge\passivedoodads\throneroom\ironforgecrystalroof,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-8.751,-6.154,-0.850
world\khazmodan\ironforge\passivedoodads\trees\ironforgepine01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.259,0.628,46.176
world\khazmodan\ironforge\passivedoodads\trees\ironforgepine02,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.110,0.646,35.373
world\khazmodan\ironforge\passivedoodads\trees\ironforgesnowtree01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.014,0.192,14.404
world\khazmodan\ironforge\passivedoodads\trees\ironforgetree01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.000,3.312,16.892
world\khazmodan\ironforge\passivedoodads\trees\ironforgetree02,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.045,0.067,36.180
world\khazmodan\ironforge\passivedoodads\trees\ironforgetree03,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.000,0.000,36.261
world\khazmodan\ironforge\passivedoodads\trees\ironforgetree04,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.140,-0.450,43.761
world\khazmodan\uldaman\passivedoodads\braziers\uldamanbrazier01,brazier,1.000,0.500,0.180,1.20,3.00,10.00,-0.059,0.108,2.375
world\khazmodan\uldaman\passivedoodads\lamps\uldamanlamp,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.237,0.084,6.471
world\khazmodan\uldaman\passivedoodads\lamps\uldamanlampandpost,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.018,0.030,7.843
world\khazmodan\uldaman\passivedoodads\lamps\uldamanlampfallen,lantern,1.000,0.780,0.450,0.80,2.00,7.00,0.046,0.003,2.667
world\khazmodan\uldaman\passivedoodads\lamps\uldamanlantern,lantern,1.000,0.780,0.450,0.80,2.00,7.00,-0.225,-0.020,12.999
world\lordaeron\scholomance\passivedoodads\brazier\scholomancebrazier01green,brazier,0.400,1.000,0.350,1.20,3.00,10.00,0.002,0.004,1.807
world\lordaeron\scholomance\passivedoodads\brazier\scholomancebrazier01orange,brazier,1.000,0.500,0.180,1.20,3.00,10.00,0.002,0.004,1.811
world\lordaeron\scholomance\passivedoodads\brazier\scholomancebrazier01purple,brazier,0.750,0.400,1.000,1.20,3.00,10.00,0.002,0.006,1.812
world\lordaeron\scholomance\passivedoodads\candles\floorcandlescorner01,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.118,0.032,4.032
world\lordaeron\scholomance\passivedoodads\candles\floorcandlescorner01green,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.118,0.032,4.032
world\lordaeron\scholomance\passivedoodads\candles\floorcandlescorner01red,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.118,0.032,4.032
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight02,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.250,2.084,1.790
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight02,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.253,0.630,1.751
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight02,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.312,-1.122,1.909
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight02green,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.250,2.084,1.790
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight02green,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.263,0.603,1.771
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight02green,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.312,-1.122,1.909
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight02red,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.250,2.084,1.790
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight02red,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.263,0.603,1.771
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight02red,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.312,-1.122,1.909
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight04,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.233,-0.312,1.750
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight04,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.327,1.628,1.865
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight04,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.614,-1.529,2.354
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight04green,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.233,-0.312,1.750
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight04green,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.327,1.628,1.865
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight04green,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.614,-1.529,2.354
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight04red,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.233,-0.312,1.750
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight04red,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.327,1.628,1.865
world\lordaeron\scholomance\passivedoodads\candles\floorcandlesstraight04red,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.614,-1.529,2.354
world\lordaeron\scholomance\passivedoodads\candles\scholme_candelabra,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.007,-0.153,2.292
world\lordaeron\scholomance\passivedoodads\candles\scholme_candelabra,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.007,1.093,2.453
world\lordaeron\scholomance\passivedoodads\candles\scholme_candelabra,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.006,-0.000,3.744
world\lordaeron\scholomance\passivedoodads\candles\scholme_candelabra,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.023,0.008,6.292
world\lordaeron\scholomance\passivedoodads\candles\scholme_candelabra02,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.161,-0.548,4.925
world\lordaeron\scholomance\passivedoodads\candles\scholme_candelabra02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.008,0.319,5.471
world\lordaeron\scholomance\passivedoodads\candles\scholme_candelabra02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.053,0.123,4.035
world\lordaeron\scholomance\passivedoodads\candles\scholme_candelabra03,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.036,0.063,5.538
world\lordaeron\scholomance\passivedoodads\candles\scholme_greencandelabra,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.007,-0.153,2.292
world\lordaeron\scholomance\passivedoodads\candles\scholme_greencandelabra,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.007,1.093,2.453
world\lordaeron\scholomance\passivedoodads\candles\scholme_greencandelabra,candle,0.400,1.000,0.350,0.60,1.00,4.00,0.006,-0.000,3.744
world\lordaeron\scholomance\passivedoodads\candles\scholme_greencandelabra,candle,0.400,1.000,0.350,0.60,1.00,4.00,0.023,0.008,6.292
world\lordaeron\scholomance\passivedoodads\candles\scholme_greencandelabra02,candle,0.400,1.000,0.350,0.60,1.00,4.00,-0.161,-0.548,4.925
world\lordaeron\scholomance\passivedoodads\candles\scholme_greencandelabra02,candle,0.400,1.000,0.350,0.60,1.00,4.00,0.008,0.319,5.471
world\lordaeron\scholomance\passivedoodads\candles\scholme_greencandelabra02,candle,0.400,1.000,0.350,0.60,1.00,4.00,0.055,0.124,4.073
world\lordaeron\scholomance\passivedoodads\candles\scholme_greencandelabra03,candle,0.400,1.000,0.350,0.60,1.00,4.00,0.036,0.063,5.538
world\lordaeron\scholomance\passivedoodads\candles\scholme_redcandelabra,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.007,-0.153,2.292
world\lordaeron\scholomance\passivedoodads\candles\scholme_redcandelabra,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.007,1.093,2.453
world\lordaeron\scholomance\passivedoodads\candles\scholme_redcandelabra,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.006,-0.000,3.744
world\lordaeron\scholomance\passivedoodads\candles\scholme_redcandelabra,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.023,0.008,6.292
world\lordaeron\scholomance\passivedoodads\candles\scholme_redcandelabra02,candle,1.000,0.700,0.350,0.60,1.00,4.00,-0.161,-0.548,4.925
world\lordaeron\scholomance\passivedoodads\candles\scholme_redcandelabra02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.008,0.319,5.471
world\lordaeron\scholomance\passivedoodads\candles\scholme_redcandelabra02,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.055,0.124,4.073
world\lordaeron\scholomance\passivedoodads\candles\scholme_redcandelabra03,candle,1.000,0.700,0.350,0.60,1.00,4.00,0.036,0.063,5.538
world\lordaeron\scholomance\passivedoodads\chandelier\scholme_chandelier,chandelier,1.000,0.720,0.400,1.00,3.00,10.00,-0.030,-0.033,33.180
world\lordaeron\stratholme\activedoodads\furnace\furnace_skull01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.060,0.657,4.518
world\outland\passivedoodads\campfire\outlanddeadcampfire,campfire,1.000,0.500,0.180,1.20,3.00,10.00,0.234,-0.466,2.702
world\skillactivated\tradeskillenablers\blacksmithforge,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-2.923,-0.005,3.752
world\skillactivated\tradeskillenablers\tradeskill_forge_01,hearth,1.000,0.450,0.150,1.00,2.00,8.00,1.004,-0.014,1.369
world\skillactivated\tradeskillenablers\tradeskill_forge_02,hearth,1.000,0.450,0.150,1.00,2.00,8.00,0.965,-1.062,0.459
world\skillactivated\tradeskillenablers\tradeskill_forge_03,hearth,1.000,0.450,0.150,1.00,2.00,8.00,-0.211,0.019,1.369
